config,name,component,value,unit,artifact_id
plain-de,gazetteer_legacy_matches,legacy,1.0,count,warmup
plain-de,gazetteer_legacy_processing_ms,legacy,16.0,milliseconds,warmup
plain-de,process.cpu.utilization,legacy,0.0,percent,warmup
plain-de,process.cpu.time.user,legacy,0.94,seconds,warmup
plain-de,process.cpu.time.system,legacy,0.17,seconds,warmup
plain-de,process.context_switches.voluntary,legacy,0.0,count,warmup
plain-de,process.context_switches.involuntary,legacy,13.0,count,warmup
plain-de,system.cpu.utilization,legacy,17.9,percent,warmup
plain-de,system.load_average.1m,legacy,1.6435546875,load,warmup
plain-de,system.load_average.5m,legacy,2.4482421875,load,warmup
plain-de,system.load_average.15m,legacy,2.2744140625,load,warmup
plain-de,process.memory.rss,legacy,87437312.0,bytes,warmup
plain-de,process.memory.vms,legacy,96374784.0,bytes,warmup
plain-de,process.memory.uss,legacy,76324864.0,bytes,warmup
plain-de,system.memory.used,legacy,8905629696.0,bytes,warmup
plain-de,system.memory.available,legacy,41609584640.0,bytes,warmup
plain-de,system.memory.utilization,legacy,17.6,percent,warmup
plain-de,system.swap.used,legacy,0.0,bytes,warmup
plain-de,system.swap.utilization,legacy,0.0,percent,warmup
plain-de,process.cpu.utilization,legacy,53.3,percent,warmup
plain-de,process.cpu.time.user,legacy,0.95,seconds,warmup
plain-de,process.cpu.time.system,legacy,0.17,seconds,warmup
plain-de,process.context_switches.voluntary,legacy,2.0,count,warmup
plain-de,process.context_switches.involuntary,legacy,13.0,count,warmup
plain-de,system.cpu.utilization,legacy,14.3,percent,warmup
plain-de,system.load_average.1m,legacy,1.6435546875,load,warmup
plain-de,system.load_average.5m,legacy,2.4482421875,load,warmup
plain-de,system.load_average.15m,legacy,2.2744140625,load,warmup
plain-de,process.memory.rss,legacy,89481216.0,bytes,warmup
plain-de,process.memory.vms,legacy,97460224.0,bytes,warmup
plain-de,process.memory.uss,legacy,77828096.0,bytes,warmup
plain-de,system.memory.used,legacy,8905629696.0,bytes,warmup
plain-de,system.memory.available,legacy,41609584640.0,bytes,warmup
plain-de,system.memory.utilization,legacy,17.6,percent,warmup
plain-de,system.swap.used,legacy,0.0,bytes,warmup
plain-de,system.swap.utilization,legacy,0.0,percent,warmup
plain-de,duui.request.duration,legacy,21.068517999992764,milliseconds,warmup
plain-de,duui.request.duration.histogram,legacy,,milliseconds,warmup
plain-de,duui.request.throughput,legacy,1000.0,requests_per_second,warmup
plain-de,duui.request.count,legacy,1.0,count,warmup
plain-de,duui.request.duration,legacy,21.068517999992764,milliseconds,warmup
plain-de,duui.request.duration.histogram,legacy,,milliseconds,warmup
plain-de,duui.request.throughput,legacy,1000.0,requests_per_second,warmup
plain-de,duui.request.count,legacy,1.0,count,warmup
plain-de,duui.request.duration,legacy,21.068517999992764,milliseconds,warmup
plain-de,duui.request.duration.histogram,legacy,,milliseconds,warmup
plain-de,duui.request.throughput,legacy,1000.0,requests_per_second,warmup
plain-de,duui.request.count,legacy,1.0,count,warmup
plain-de,gazetteer_matches,modern,1.0,count,warmup
plain-de,gazetteer_processing_ms,modern,2.0,milliseconds,warmup
plain-de,process.cpu.utilization,modern,0.0,percent,warmup
plain-de,process.cpu.time.user,modern,0.96,seconds,warmup
plain-de,process.cpu.time.system,modern,0.17,seconds,warmup
plain-de,process.context_switches.voluntary,modern,2.0,count,warmup
plain-de,process.context_switches.involuntary,modern,13.0,count,warmup
plain-de,system.cpu.utilization,modern,40.0,percent,warmup
plain-de,system.load_average.1m,modern,1.6435546875,load,warmup
plain-de,system.load_average.5m,modern,2.4482421875,load,warmup
plain-de,system.load_average.15m,modern,2.2744140625,load,warmup
plain-de,process.memory.rss,modern,89673728.0,bytes,warmup
plain-de,process.memory.vms,modern,97460224.0,bytes,warmup
plain-de,process.memory.uss,modern,78016512.0,bytes,warmup
plain-de,system.memory.used,modern,8905629696.0,bytes,warmup
plain-de,system.memory.available,modern,41609584640.0,bytes,warmup
plain-de,system.memory.utilization,modern,17.6,percent,warmup
plain-de,system.swap.used,modern,0.0,bytes,warmup
plain-de,system.swap.utilization,modern,0.0,percent,warmup
plain-de,process.cpu.utilization,modern,0.0,percent,warmup
plain-de,process.cpu.time.user,modern,0.96,seconds,warmup
plain-de,process.cpu.time.system,modern,0.17,seconds,warmup
plain-de,process.context_switches.voluntary,modern,4.0,count,warmup
plain-de,process.context_switches.involuntary,modern,13.0,count,warmup
plain-de,system.cpu.utilization,modern,20.0,percent,warmup
plain-de,system.load_average.1m,modern,1.6435546875,load,warmup
plain-de,system.load_average.5m,modern,2.4482421875,load,warmup
plain-de,system.load_average.15m,modern,2.2744140625,load,warmup
plain-de,process.memory.rss,modern,89718784.0,bytes,warmup
plain-de,process.memory.vms,modern,97460224.0,bytes,warmup
plain-de,process.memory.uss,modern,78061568.0,bytes,warmup
plain-de,system.memory.used,modern,8905629696.0,bytes,warmup
plain-de,system.memory.available,modern,41609584640.0,bytes,warmup
plain-de,system.memory.utilization,modern,17.6,percent,warmup
plain-de,system.swap.used,modern,0.0,bytes,warmup
plain-de,system.swap.utilization,modern,0.0,percent,warmup
plain-de,duui.request.duration,modern,6.340124999951513,milliseconds,warmup
plain-de,duui.request.duration.histogram,modern,,milliseconds,warmup
plain-de,duui.request.throughput,modern,181.40721202961345,requests_per_second,warmup
plain-de,duui.request.count,modern,2.0,count,warmup
plain-de,duui.request.duration,modern,6.340124999951513,milliseconds,warmup
plain-de,duui.request.duration.histogram,modern,,milliseconds,warmup
plain-de,duui.request.throughput,modern,1000.0,requests_per_second,warmup
plain-de,duui.request.count,modern,1.0,count,warmup
plain-de,duui.request.duration,modern,6.340124999951513,milliseconds,warmup
plain-de,duui.request.duration.histogram,modern,,milliseconds,warmup
plain-de,duui.request.throughput,modern,1000.0,requests_per_second,warmup
plain-de,duui.request.count,modern,1.0,count,warmup
plain-de,gazetteer_legacy_matches,legacy,1.0,count,3713534-chunk-1
plain-de,gazetteer_legacy_processing_ms,legacy,3.0,milliseconds,3713534-chunk-1
plain-de,process.cpu.utilization,legacy,0.0,percent,3713534-chunk-1
plain-de,process.cpu.time.user,legacy,0.96,seconds,3713534-chunk-1
plain-de,process.cpu.time.system,legacy,0.18,seconds,3713534-chunk-1
plain-de,process.context_switches.voluntary,legacy,4.0,count,3713534-chunk-1
plain-de,process.context_switches.involuntary,legacy,13.0,count,3713534-chunk-1
plain-de,system.cpu.utilization,legacy,28.6,percent,3713534-chunk-1
plain-de,system.load_average.1m,legacy,1.6435546875,load,3713534-chunk-1
plain-de,system.load_average.5m,legacy,2.4482421875,load,3713534-chunk-1
plain-de,system.load_average.15m,legacy,2.2744140625,load,3713534-chunk-1
plain-de,process.memory.rss,legacy,89894912.0,bytes,3713534-chunk-1
plain-de,process.memory.vms,legacy,98508800.0,bytes,3713534-chunk-1
plain-de,process.memory.uss,legacy,78237696.0,bytes,3713534-chunk-1
plain-de,system.memory.used,legacy,8905629696.0,bytes,3713534-chunk-1
plain-de,system.memory.available,legacy,41609584640.0,bytes,3713534-chunk-1
plain-de,system.memory.utilization,legacy,17.6,percent,3713534-chunk-1
plain-de,system.swap.used,legacy,0.0,bytes,3713534-chunk-1
plain-de,system.swap.utilization,legacy,0.0,percent,3713534-chunk-1
plain-de,process.cpu.utilization,legacy,0.0,percent,3713534-chunk-1
plain-de,process.cpu.time.user,legacy,0.96,seconds,3713534-chunk-1
