component,doc_id,source,chars,elapsed_ms,annotation_count,config,display,throughput_docs_per_s
legacy,3713534-chunk-1,DockerUnifiedUIMAInterface/test_corpora_xmi/3713534.xmi,2181,3.4594929998092994,1,plain-de,Baseline,289.0596974918359
modern,3713534-chunk-1,DockerUnifiedUIMAInterface/test_corpora_xmi/3713534.xmi,2181,2.9620209998029168,1,plain-de,Async,337.60732961263164
legacy,3713534-chunk-2,DockerUnifiedUIMAInterface/test_corpora_xmi/3713534.xmi,2086,2.639716999965458,0,plain-de,Baseline,378.8284880587902
modern,3713534-chunk-2,DockerUnifiedUIMAInterface/test_corpora_xmi/3713534.xmi,2086,3.1714639999336214,0,plain-de,Async,315.31179291990384
legacy,3718079-chunk-1,DockerUnifiedUIMAInterface/test_corpora_xmi/3718079.xmi,1953,2.6570529998934944,0,plain-de,Baseline,376.3568133718387
modern,3718079-chunk-1,DockerUnifiedUIMAInterface/test_corpora_xmi/3718079.xmi,1953,3.075121999700059,0,plain-de,Async,325.19035020319126
legacy,3718079-chunk-2,DockerUnifiedUIMAInterface/test_corpora_xmi/3718079.xmi,606,2.4029589999372547,0,plain-de,Baseline,416.15358398795473
modern,3718079-chunk-2,DockerUnifiedUIMAInterface/test_corpora_xmi/3718079.xmi,606,2.865853999992396,0,plain-de,Async,348.9361286383233
legacy,3720448-chunk-1,DockerUnifiedUIMAInterface/test_corpora_xmi/3720448.xmi,2148,3.3522290000291832,1,plain-de,Baseline,298.30897590567184
modern,3720448-chunk-1,DockerUnifiedUIMAInterface/test_corpora_xmi/3720448.xmi,2148,2.939085999969393,1,plain-de,Async,340.24183028683535
legacy,3720448-chunk-2,DockerUnifiedUIMAInterface/test_corpora_xmi/3720448.xmi,2100,2.9998330001035356,0,plain-de,Baseline,333.3518899103671
modern,3720448-chunk-2,DockerUnifiedUIMAInterface/test_corpora_xmi/3720448.xmi,2100,3.2810220000101253,0,plain-de,Async,304.78308283117696
legacy,3713534-chunk-1,DockerUnifiedUIMAInterface/test_corpora_xmi/3713534.xmi,2181,3.4129820000998734,0,virus-skipgram,Baseline,292.99890827749374
modern,3713534-chunk-1,DockerUnifiedUIMAInterface/test_corpora_xmi/3713534.xmi,2181,2.917475999765884,0,virus-skipgram,Async,342.76203131756563
legacy,3713534-chunk-2,DockerUnifiedUIMAInterface/test_corpora_xmi/3713534.xmi,2086,2.8191579999656824,0,virus-skipgram,Baseline,354.71584069150185
modern,3713534-chunk-2,DockerUnifiedUIMAInterface/test_corpora_xmi/3713534.xmi,2086,3.300336999927822,0,virus-skipgram,Async,302.99936037497685
legacy,3718079-chunk-1,DockerUnifiedUIMAInterface/test_corpora_xmi/3718079.xmi,1953,2.854328000012174,0,virus-skipgram,Baseline,350.34516005018867
modern,3718079-chunk-1,DockerUnifiedUIMAInterface/test_corpora_xmi/3718079.xmi,1953,4.2065840002578625,0,virus-skipgram,Async,237.7225796367552
legacy,3718079-chunk-2,DockerUnifiedUIMAInterface/test_corpora_xmi/3718079.xmi,606,3.3930839999811724,0,virus-skipgram,Baseline,294.717136388474
modern,3718079-chunk-2,DockerUnifiedUIMAInterface/test_corpora_xmi/3718079.xmi,606,3.5286259999338654,0,virus-skipgram,Async,283.39642682980354
legacy,3720448-chunk-1,DockerUnifiedUIMAInterface/test_corpora_xmi/3720448.xmi,2148,3.424458000154118,0,virus-skipgram,Baseline,292.01701406616604
modern,3720448-chunk-1,DockerUnifiedUIMAInterface/test_corpora_xmi/3720448.xmi,2148,3.1730919999972684,0,virus-skipgram,Async,315.1500177117023
legacy,3720448-chunk-2,DockerUnifiedUIMAInterface/test_corpora_xmi/3720448.xmi,2100,2.9085139999551757,0,virus-skipgram,Baseline,343.81818344880287
modern,3720448-chunk-2,DockerUnifiedUIMAInterface/test_corpora_xmi/3720448.xmi,2100,3.6657120003837917,0,virus-skipgram,Async,272.79829945595895
